index,LINEA,estacion_actual,siguiente_estacion,A2A_n,A2A_p50,A2A_p10,A2A_p25,A2A_p75,A2A_p90,A2A_mean_trim10,A2A_std,A2A_discard_ratio,D2A_n,D2A_p50,D2A_p10,D2A_p25,D2A_p75,D2A_p90,D2A_mean_trim10,D2A_std,D2A_discard_ratio,ETA_usuario_s,ETA_operativo_s,ETA_sugerido_s
40,Linea_1,PARQUE CENTENARIO,GÓMEZ CARRILLO,2.0,281.5,145.1,196.25,366.75,417.9,281.5,241.1234123846127,0.0,2.0,175.0,111.8,135.5,214.5,238.2,175.0,111.72287142747452,0.0,281.5,175.0,281.5
41,Linea_1,PARQUE CENTENARIO,MERCADO CENTRAL,240.0,554.0,388.0,433.0,770.0,938.4000000000003,589.807486631016,227.56073768773,0.029166666666666674,29.0,125.0,61.8,110.5,231.0,315.4000000000001,161.08695652173913,100.32498474509012,0.06896551724137934,554.0,125.0,554.0
42,Linea_1,PARQUE CENTENARIO,PASEO DE LAS LETRAS,3.0,505.0,421.8,453.0,578.0,621.8,519.0,125.5866234915168,0.0,0.0,,,,,,,,,505.0,,505.0
43,Linea_1,PARQUE CENTENARIO,SAN AGUSTÍN,140.0,17.0,5.9,9.75,60.0,60.0,28.8125,23.472687546107807,0.0,12.0,9.5,6.0,6.75,12.5,14.0,9.8,3.964807305493795,0.0,17.0,9.5,17.0
44,Linea_1,PARQUE CENTENARIO,SAN SEBASTIÁN,42747.0,243.0,166.0,201.0,295.0,348.0,247.45558879189304,70.00997552913911,0.041991250848012696,42005.0,127.0,44.0,80.0,178.0,233.0,129.40464657060875,72.53277529103123,0.0355195810022616,243.0,127.0,243.0
45,Linea_1,PARQUE CENTENARIO,SUR 2,3.0,60.0,16.0,32.5,8352.0,13327.2,5569.666666666667,9590.693422966524,0.0,0.0,,,,,,,,,60.0,,60.0
46,Linea_1,PASEO DE LAS LETRAS,BEATAS DE BELÉN,134.0,313.0,8.0,60.0,501.5,688.1000000000001,283.4423076923077,269.9049614090155,0.02985074626865669,61.0,320.0,57.800000000000004,182.0,473.25,702.0,333.0,228.69182073274175,0.016393442622950838,313.0,320.0,313.0
47,Linea_1,PASEO DE LAS LETRAS,CENTRO CÍVICO,42015.0,254.0,173.0,208.0,311.0,373.0,259.5970079766597,77.60981915302226,0.0414613828394621,41222.0,119.0,67.0,88.0,159.0,200.0,122.75864782348683,50.81174537245408,0.036606666343214744,254.0,119.0,254.0
48,Linea_1,PASEO DE LAS LETRAS,CORREOS,10.0,103.0,54.2,59.0,240.0,579.2,241.55555555555554,299.3589447098212,0.09999999999999998,3.0,60.0,46.4,51.5,234.0,338.40000000000003,170.33333333333334,206.0008090598999,0.0,103.0,60.0,103.0
49,Linea_1,PASEO DE LAS LETRAS,GÓMEZ CARRILLO,21.0,180.0,49.0,120.0,349.0,385.0,208.2941176470588,150.1125926636086,0.0,9.0,60.0,60.0,60.0,60.0,60.0,60.0,0.0,0.4444444444444444,180.0,60.0,180.0
50,Linea_1,PASEO DE LAS LETRAS,MERCADO CENTRAL,111.0,766.0,384.4,515.0,1147.0,1521.2,837.2352941176471,466.3785216515394,0.05405405405405406,17.0,300.0,300.0,300.0,925.0,1337.5,542.2142857142857,444.0156481852113,0.05882352941176472,766.0,300.0,766.0
51,Linea_1,PASEO DE LAS LETRAS,PARQUE CENTENARIO,135.0,445.0,300.0,400.0,483.0,548.0,439.97752808988764,105.20011511487753,0.19259259259259254,0.0,,,,,,,,,445.0,,445.0
